Date,Campaign Name,Volunteer ID,Donor Channel,Amount Raised (INR),Donation Status,Campaign Target (INR)
2026-02-16,Feed the Hungry,V003,LinkedIn,3576,Failed,300000
2026-04-02,Feed the Hungry,V007,LinkedIn,4731,Completed,300000
2026-06-13,Feed the Hungry,V002,Instagram,1297,Failed,300000
2025-12-23,Winter Clothes Drive,V002,WhatsApp,3952,Completed,200000
2026-03-26,Women Empowerment,V007,Cold Call,1485,Pending,400000
2026-03-16,Women Empowerment,V006,Instagram,621,Completed,400000
2026-01-19,Women Empowerment,V003,WhatsApp,2432,Completed,400000
2026-03-22,Women Empowerment,V009,Instagram,1295,Completed,400000
2026-05-25,Feed the Hungry,V010,LinkedIn,2134,Failed,300000
2026-02-20,Winter Clothes Drive,V006,Instagram,327,Failed,200000
2026-04-16,Winter Clothes Drive,V010,Instagram,1937,Completed,200000
2026-02-28,Feed the Hungry,V010,WhatsApp,4629,Completed,300000
2025-12-20,Winter Clothes Drive,V006,LinkedIn,1315,Completed,200000
2025-12-26,Feed the Hungry,V001,Cold Call,4876,Completed,300000
2026-01-12,Women Empowerment,V004,WhatsApp,1090,Failed,400000
2026-01-25,Feed the Hungry,V010,LinkedIn,967,Completed,300000
2026-03-01,Women Empowerment,V006,WhatsApp,935,Completed,400000
2026-01-20,Women Empowerment,V006,LinkedIn,2802,Completed,400000
2026-04-13,Project Education,V005,LinkedIn,71,Failed,500000
2026-02-02,Feed the Hungry,V001,LinkedIn,4619,Completed,300000
2026-05-10,Project Education,V008,WhatsApp,3241,Completed,500000
2026-01-04,Feed the Hungry,V005,Instagram,2403,Completed,300000
2026-05-10,Feed the Hungry,V005,WhatsApp,4849,Pending,300000
2026-01-08,Project Education,V007,WhatsApp,736,Completed,500000
2026-06-01,Project Education,V004,WhatsApp,334,Pending,500000
2026-03-07,Feed the Hungry,V006,WhatsApp,4861,Completed,300000
2026-04-24,Winter Clothes Drive,V004,LinkedIn,3797,Completed,200000
2026-03-19,Women Empowerment,V003,Instagram,812,Failed,400000
2026-02-28,Project Education,V007,Instagram,2478,Pending,500000
2026-06-10,Women Empowerment,V008,WhatsApp,2557,Failed,400000
2026-01-07,Winter Clothes Drive,V004,Instagram,78,Completed,200000
2026-06-13,Winter Clothes Drive,V002,Instagram,956,Pending,200000
2026-01-23,Winter Clothes Drive,V010,LinkedIn,3154,Completed,200000
2026-04-13,Project Education,V003,Cold Call,4049,Completed,500000
2026-05-23,Winter Clothes Drive,V001,Cold Call,3044,Completed,200000
2026-01-10,Project Education,V008,WhatsApp,2556,Completed,500000
2026-01-23,Winter Clothes Drive,V003,WhatsApp,4715,Completed,200000
2026-05-26,Women Empowerment,V010,Cold Call,3659,Pending,400000
2026-01-15,Women Empowerment,V007,Instagram,3603,Failed,400000
2025-12-25,Feed the Hungry,V010,WhatsApp,1503,Completed,300000
2025-12-16,Women Empowerment,V005,Instagram,4883,Pending,400000
2025-12-19,Feed the Hungry,V010,Instagram,3406,Completed,300000
2026-01-05,Women Empowerment,V005,Instagram,565,Pending,400000
2026-05-26,Project Education,V007,Instagram,88,Failed,500000
2026-06-12,Women Empowerment,V009,Instagram,3392,Pending,400000
2026-01-05,Feed the Hungry,V005,WhatsApp,936,Completed,300000
2026-03-24,Feed the Hungry,V001,WhatsApp,2894,Failed,300000
2026-04-22,Winter Clothes Drive,V010,Instagram,2254,Completed,200000
2026-03-01,Project Education,V010,Cold Call,1148,Completed,500000
2026-06-06,Women Empowerment,V001,WhatsApp,1873,Pending,400000
2026-03-25,Winter Clothes Drive,V002,LinkedIn,3251,Failed,200000
2026-04-18,Women Empowerment,V006,Instagram,3205,Completed,400000
2026-01-30,Women Empowerment,V009,LinkedIn,3143,Completed,400000
2026-05-30,Winter Clothes Drive,V008,Instagram,3580,Completed,200000
2026-04-29,Winter Clothes Drive,V005,Instagram,3828,Pending,200000
2026-02-24,Winter Clothes Drive,V001,Instagram,2946,Completed,200000
2026-05-29,Winter Clothes Drive,V007,LinkedIn,3503,Completed,200000
2026-04-06,Winter Clothes Drive,V005,LinkedIn,3561,Completed,200000
2026-01-12,Women Empowerment,V006,LinkedIn,1038,Completed,400000
2026-04-09,Winter Clothes Drive,V007,WhatsApp,4166,Pending,200000
2026-06-10,Project Education,V003,WhatsApp,4076,Pending,500000
2026-05-27,Feed the Hungry,V010,LinkedIn,4229,Completed,300000
2026-01-07,Winter Clothes Drive,V003,WhatsApp,1732,Pending,200000
2026-01-24,Winter Clothes Drive,V005,WhatsApp,4715,Failed,200000
2026-06-12,Women Empowerment,V006,LinkedIn,4013,Failed,400000
2026-04-03,Winter Clothes Drive,V009,LinkedIn,983,Failed,200000
2026-01-17,Winter Clothes Drive,V005,WhatsApp,3648,Completed,200000
2026-01-17,Winter Clothes Drive,V001,Instagram,3283,Completed,200000
2026-05-14,Women Empowerment,V004,Instagram,2030,Completed,400000
2026-04-26,Winter Clothes Drive,V005,WhatsApp,1905,Pending,200000
2026-02-25,Feed the Hungry,V010,Instagram,3106,Completed,300000
2026-03-18,Women Empowerment,V010,LinkedIn,842,Pending,400000
2026-01-14,Feed the Hungry,V005,Instagram,841,Pending,300000
2026-03-16,Women Empowerment,V007,LinkedIn,1859,Completed,400000
2026-01-30,Winter Clothes Drive,V004,Cold Call,2305,Failed,200000
2025-12-27,Feed the Hungry,V001,Instagram,3660,Pending,300000
2026-01-31,Women Empowerment,V005,Instagram,1657,Completed,400000
2026-05-30,Project Education,V007,Instagram,1034,Failed,500000
2026-03-22,Winter Clothes Drive,V010,WhatsApp,3726,Pending,200000
2026-06-11,Women Empowerment,V010,WhatsApp,3430,Pending,400000
2026-01-26,Project Education,V006,Instagram,569,Completed,500000
2026-02-20,Women Empowerment,V005,LinkedIn,640,Completed,400000
2026-02-17,Project Education,V004,Instagram,1100,Failed,500000
2026-04-17,Winter Clothes Drive,V002,WhatsApp,3683,Pending,200000
2026-01-17,Feed the Hungry,V004,LinkedIn,4494,Completed,300000
2026-02-17,Project Education,V010,WhatsApp,1009,Completed,500000
2026-05-12,Women Empowerment,V010,LinkedIn,742,Failed,400000
2026-04-26,Winter Clothes Drive,V003,Instagram,3949,Pending,200000
2026-05-07,Project Education,V010,LinkedIn,4523,Pending,500000
2026-02-05,Women Empowerment,V001,LinkedIn,2996,Completed,400000
2026-02-11,Women Empowerment,V008,LinkedIn,576,Failed,400000
2026-01-31,Women Empowerment,V005,LinkedIn,3274,Pending,400000
2026-05-23,Project Education,V004,Instagram,2303,Completed,500000
2026-03-19,Project Education,V008,WhatsApp,3394,Completed,500000
2026-02-16,Project Education,V007,LinkedIn,4015,Failed,500000
2026-01-26,Feed the Hungry,V002,LinkedIn,1925,Completed,300000
2026-05-06,Project Education,V001,Instagram,1813,Completed,500000
2026-05-18,Project Education,V004,LinkedIn,570,Failed,500000
2026-06-01,Project Education,V008,Instagram,1066,Completed,500000
2026-04-25,Feed the Hungry,V002,Cold Call,166,Completed,300000
2026-01-03,Project Education,V003,WhatsApp,2483,Completed,500000
2026-03-29,Women Empowerment,V001,WhatsApp,633,Completed,400000
2026-05-23,Project Education,V001,LinkedIn,444,Completed,500000
2026-05-05,Women Empowerment,V003,WhatsApp,3838,Completed,400000
2026-03-03,Women Empowerment,V005,Instagram,2818,Completed,400000
2026-06-01,Women Empowerment,V003,Cold Call,4217,Pending,400000
2026-03-02,Feed the Hungry,V001,WhatsApp,3910,Completed,300000
2026-05-21,Feed the Hungry,V001,WhatsApp,323,Pending,300000
2026-01-28,Feed the Hungry,V008,WhatsApp,2063,Completed,300000
2026-06-12,Project Education,V010,Instagram,4483,Completed,500000
2026-05-14,Women Empowerment,V002,LinkedIn,1439,Completed,400000
2026-04-09,Feed the Hungry,V003,WhatsApp,3616,Pending,300000
2025-12-17,Feed the Hungry,V002,Cold Call,4752,Failed,300000
2026-04-13,Project Education,V003,Instagram,215,Pending,500000
2026-02-16,Feed the Hungry,V007,WhatsApp,1617,Completed,300000
2026-04-20,Project Education,V001,Instagram,778,Pending,500000
2026-01-31,Winter Clothes Drive,V010,Instagram,2093,Completed,200000
2026-02-08,Feed the Hungry,V008,WhatsApp,4247,Completed,300000
2025-12-17,Winter Clothes Drive,V010,WhatsApp,3546,Completed,200000
2026-03-30,Project Education,V010,WhatsApp,828,Failed,500000
2026-05-27,Women Empowerment,V010,WhatsApp,263,Completed,400000
2026-06-13,Feed the Hungry,V002,Instagram,3812,Completed,300000
2026-02-10,Project Education,V003,Cold Call,1626,Completed,500000
2026-05-04,Women Empowerment,V009,WhatsApp,2498,Pending,400000
2026-03-05,Women Empowerment,V007,WhatsApp,2986,Completed,400000
2026-02-15,Winter Clothes Drive,V004,WhatsApp,3167,Failed,200000
2026-01-24,Project Education,V010,WhatsApp,641,Completed,500000
2026-03-29,Women Empowerment,V005,Instagram,2770,Completed,400000
2026-02-26,Feed the Hungry,V002,WhatsApp,763,Completed,300000
2026-01-24,Feed the Hungry,V008,WhatsApp,985,Completed,300000
2026-02-13,Winter Clothes Drive,V004,WhatsApp,4387,Completed,200000
2026-01-29,Women Empowerment,V009,Instagram,51,Completed,400000
2026-03-18,Project Education,V005,WhatsApp,2898,Pending,500000
2026-01-02,Feed the Hungry,V009,Instagram,4094,Completed,300000
2026-02-17,Women Empowerment,V004,WhatsApp,1999,Completed,400000
2026-05-09,Women Empowerment,V010,Instagram,967,Completed,400000
2026-01-05,Winter Clothes Drive,V005,Instagram,3224,Completed,200000
2026-06-02,Feed the Hungry,V009,WhatsApp,2291,Completed,300000
2026-01-03,Feed the Hungry,V008,LinkedIn,139,Failed,300000
2026-05-31,Project Education,V003,Instagram,1759,Completed,500000
2026-05-25,Feed the Hungry,V001,Cold Call,2219,Pending,300000
2026-03-19,Project Education,V003,LinkedIn,4288,Completed,500000
2026-03-30,Feed the Hungry,V004,LinkedIn,3091,Failed,300000
2026-06-07,Winter Clothes Drive,V002,Cold Call,155,Pending,200000
2026-05-23,Feed the Hungry,V001,LinkedIn,936,Completed,300000
2026-02-24,Project Education,V007,WhatsApp,477,Completed,500000
2026-03-24,Project Education,V008,Cold Call,1945,Completed,500000
2026-04-29,Winter Clothes Drive,V007,WhatsApp,366,Completed,200000
2026-04-18,Feed the Hungry,V005,LinkedIn,684,Failed,300000
2026-02-07,Feed the Hungry,V001,WhatsApp,1975,Failed,300000
2026-02-26,Winter Clothes Drive,V007,WhatsApp,2106,Completed,200000
2026-03-04,Feed the Hungry,V007,WhatsApp,3194,Failed,300000
2026-03-31,Feed the Hungry,V009,Instagram,2320,Completed,300000
2026-01-15,Project Education,V003,WhatsApp,1489,Pending,500000
2025-12-16,Feed the Hungry,V009,WhatsApp,602,Completed,300000
2026-05-14,Feed the Hungry,V001,WhatsApp,765,Pending,300000
2026-04-18,Winter Clothes Drive,V001,LinkedIn,3961,Failed,200000
2026-04-13,Winter Clothes Drive,V004,Cold Call,1763,Pending,200000
2026-06-11,Women Empowerment,V009,LinkedIn,3439,Pending,400000
2026-04-23,Project Education,V006,LinkedIn,1157,Pending,500000
2026-05-17,Feed the Hungry,V003,Instagram,4256,Failed,300000
2026-01-02,Feed the Hungry,V001,LinkedIn,300,Pending,300000
2026-02-18,Women Empowerment,V004,WhatsApp,2480,Completed,400000
2025-12-16,Feed the Hungry,V009,WhatsApp,2104,Failed,300000
2026-01-14,Project Education,V003,WhatsApp,508,Pending,500000
2026-05-01,Women Empowerment,V009,WhatsApp,257,Failed,400000
2026-05-23,Project Education,V007,LinkedIn,949,Completed,500000
2026-04-24,Women Empowerment,V004,Instagram,3511,Completed,400000
2026-02-04,Women Empowerment,V003,WhatsApp,3435,Pending,400000
2026-03-01,Winter Clothes Drive,V010,LinkedIn,71,Completed,200000
2026-01-01,Project Education,V005,Instagram,459,Completed,500000
2025-12-18,Feed the Hungry,V005,WhatsApp,944,Failed,300000
2026-02-03,Feed the Hungry,V003,Instagram,564,Completed,300000
2026-05-27,Project Education,V009,LinkedIn,4954,Completed,500000
2026-04-25,Feed the Hungry,V004,WhatsApp,4159,Completed,300000
2026-05-24,Feed the Hungry,V005,Instagram,2184,Completed,300000
2025-12-21,Project Education,V004,LinkedIn,3645,Completed,500000
2026-03-12,Women Empowerment,V005,LinkedIn,3006,Completed,400000
2025-12-19,Project Education,V007,LinkedIn,1610,Completed,500000
2026-04-16,Women Empowerment,V009,LinkedIn,1316,Failed,400000
2026-04-24,Feed the Hungry,V007,Instagram,2219,Completed,300000
2026-02-12,Feed the Hungry,V005,WhatsApp,3688,Completed,300000
2026-05-19,Feed the Hungry,V010,WhatsApp,799,Completed,300000
2026-04-23,Winter Clothes Drive,V010,WhatsApp,3477,Completed,200000
2026-02-21,Women Empowerment,V007,Instagram,4830,Failed,400000
2026-02-05,Winter Clothes Drive,V010,WhatsApp,1977,Completed,200000
2026-05-06,Winter Clothes Drive,V005,Instagram,3854,Pending,200000
2026-04-24,Project Education,V003,LinkedIn,3752,Completed,500000
2026-05-22,Winter Clothes Drive,V007,Instagram,2406,Pending,200000
2026-04-24,Project Education,V002,Cold Call,4840,Completed,500000
2026-01-01,Project Education,V009,Instagram,2385,Pending,500000
2026-06-12,Winter Clothes Drive,V010,Instagram,356,Pending,200000
2026-02-23,Women Empowerment,V010,LinkedIn,3715,Completed,400000
2026-01-12,Women Empowerment,V001,LinkedIn,2039,Failed,400000
2026-05-01,Women Empowerment,V006,WhatsApp,711,Pending,400000
2026-02-14,Women Empowerment,V007,WhatsApp,4694,Pending,400000
2026-05-28,Women Empowerment,V008,LinkedIn,361,Failed,400000
2026-02-21,Winter Clothes Drive,V010,LinkedIn,2970,Pending,200000
2026-03-31,Winter Clothes Drive,V009,WhatsApp,1132,Pending,200000
2026-02-18,Feed the Hungry,V002,LinkedIn,3021,Pending,300000
2026-03-13,Women Empowerment,V010,Instagram,804,Completed,400000
2026-02-19,Winter Clothes Drive,V002,LinkedIn,4180,Failed,200000
2026-05-25,Feed the Hungry,V005,Instagram,4590,Pending,300000
2026-01-05,Women Empowerment,V005,Instagram,402,Failed,400000
2026-06-07,Project Education,V006,Cold Call,952,Completed,500000
2026-05-26,Feed the Hungry,V003,Instagram,3938,Completed,300000
2026-06-13,Winter Clothes Drive,V008,Instagram,208,Pending,200000
2026-06-05,Project Education,V001,Cold Call,2027,Failed,500000
2026-02-25,Project Education,V006,Cold Call,1006,Failed,500000
2025-12-30,Project Education,V004,WhatsApp,2121,Failed,500000
2026-03-06,Feed the Hungry,V001,LinkedIn,453,Completed,300000
2026-02-07,Winter Clothes Drive,V007,WhatsApp,4661,Completed,200000
2026-03-04,Project Education,V009,WhatsApp,2829,Failed,500000
2026-02-08,Women Empowerment,V004,Instagram,1437,Failed,400000
2026-01-20,Project Education,V004,Instagram,3503,Completed,500000
2026-02-15,Project Education,V006,Instagram,1005,Completed,500000
2026-02-23,Feed the Hungry,V003,WhatsApp,1762,Failed,300000
2025-12-24,Feed the Hungry,V006,Instagram,4753,Completed,300000
2026-06-09,Winter Clothes Drive,V007,Instagram,1323,Failed,200000
2026-02-18,Women Empowerment,V010,Instagram,3861,Failed,400000
2026-05-24,Feed the Hungry,V010,Cold Call,2675,Completed,300000
2026-03-15,Project Education,V003,Instagram,2432,Completed,500000
2026-06-04,Winter Clothes Drive,V007,WhatsApp,1491,Failed,200000
2025-12-21,Project Education,V003,Instagram,3029,Failed,500000
2026-03-16,Project Education,V002,WhatsApp,1847,Failed,500000
2026-06-03,Feed the Hungry,V010,WhatsApp,4440,Completed,300000
2026-05-20,Winter Clothes Drive,V004,Instagram,4059,Failed,200000
2026-05-12,Women Empowerment,V008,WhatsApp,4900,Failed,400000
2026-04-21,Women Empowerment,V009,Instagram,1444,Pending,400000
2025-12-26,Feed the Hungry,V007,WhatsApp,4331,Completed,300000
2026-06-04,Feed the Hungry,V001,Instagram,1319,Completed,300000
2026-04-03,Winter Clothes Drive,V003,WhatsApp,4782,Completed,200000
2026-03-13,Women Empowerment,V009,Cold Call,3764,Pending,400000
2026-05-14,Women Empowerment,V001,Instagram,579,Completed,400000
2026-03-29,Women Empowerment,V009,WhatsApp,3673,Failed,400000
2026-02-10,Project Education,V008,LinkedIn,3008,Pending,500000
2026-04-28,Women Empowerment,V001,Cold Call,2964,Failed,400000
2025-12-31,Project Education,V006,LinkedIn,4939,Completed,500000
2026-03-22,Winter Clothes Drive,V005,WhatsApp,3641,Pending,200000
2026-04-01,Project Education,V006,LinkedIn,2197,Completed,500000
2026-01-14,Winter Clothes Drive,V010,LinkedIn,4623,Pending,200000
2026-02-05,Women Empowerment,V005,Instagram,3419,Pending,400000
2026-05-18,Women Empowerment,V006,Instagram,989,Completed,400000
2026-03-11,Winter Clothes Drive,V005,LinkedIn,575,Completed,200000
2026-03-11,Feed the Hungry,V005,WhatsApp,51,Completed,300000
2026-05-13,Winter Clothes Drive,V004,Instagram,424,Failed,200000
2026-06-13,Feed the Hungry,V003,LinkedIn,2390,Pending,300000
2026-04-06,Project Education,V003,WhatsApp,4055,Failed,500000
2026-06-05,Project Education,V004,Cold Call,3102,Completed,500000
2026-05-16,Project Education,V009,Instagram,4698,Failed,500000
2026-05-25,Women Empowerment,V002,Instagram,2415,Completed,400000
2026-04-13,Project Education,V009,Instagram,1575,Failed,500000
2026-01-10,Feed the Hungry,V001,LinkedIn,4526,Completed,300000
2026-02-03,Project Education,V001,Instagram,1696,Completed,500000
2026-02-24,Winter Clothes Drive,V005,LinkedIn,63,Completed,200000
2026-03-29,Winter Clothes Drive,V006,WhatsApp,4649,Completed,200000
2025-12-17,Women Empowerment,V006,LinkedIn,2328,Completed,400000
2026-04-05,Winter Clothes Drive,V003,LinkedIn,3205,Completed,200000
2026-05-19,Feed the Hungry,V007,Instagram,179,Completed,300000
2025-12-18,Project Education,V009,WhatsApp,3864,Pending,500000
2025-12-24,Women Empowerment,V010,WhatsApp,4983,Failed,400000
2026-05-09,Project Education,V008,WhatsApp,3266,Completed,500000
2025-12-31,Project Education,V006,WhatsApp,2988,Completed,500000
2026-03-10,Feed the Hungry,V008,Instagram,3978,Completed,300000
2026-04-19,Winter Clothes Drive,V005,WhatsApp,2090,Completed,200000
2026-04-28,Winter Clothes Drive,V008,Instagram,77,Pending,200000
2026-02-05,Project Education,V010,LinkedIn,2163,Failed,500000
2025-12-30,Women Empowerment,V004,LinkedIn,1302,Pending,400000
2026-02-04,Winter Clothes Drive,V010,Instagram,4406,Completed,200000
2026-01-05,Women Empowerment,V008,LinkedIn,2096,Completed,400000
2026-06-03,Winter Clothes Drive,V010,Instagram,4605,Completed,200000
2026-01-03,Women Empowerment,V002,LinkedIn,4073,Completed,400000
2026-04-27,Feed the Hungry,V005,WhatsApp,4446,Completed,300000
2026-04-06,Women Empowerment,V009,Cold Call,3424,Pending,400000
2026-01-29,Feed the Hungry,V004,WhatsApp,3516,Failed,300000
2026-06-07,Feed the Hungry,V006,WhatsApp,3131,Completed,300000
2026-04-06,Women Empowerment,V001,Instagram,3828,Failed,400000
2026-03-07,Feed the Hungry,V009,WhatsApp,679,Pending,300000
2026-06-03,Project Education,V001,Instagram,319,Completed,500000
2026-05-02,Feed the Hungry,V005,LinkedIn,2689,Failed,300000
2026-01-03,Winter Clothes Drive,V004,Cold Call,2043,Failed,200000
2026-05-27,Women Empowerment,V003,Instagram,2941,Completed,400000
2026-03-06,Project Education,V006,Instagram,3482,Completed,500000
2026-05-16,Women Empowerment,V002,Cold Call,1330,Completed,400000
2026-02-12,Winter Clothes Drive,V003,WhatsApp,2410,Failed,200000
2026-05-20,Winter Clothes Drive,V005,Cold Call,625,Completed,200000
2026-03-31,Winter Clothes Drive,V009,WhatsApp,1357,Completed,200000
2026-05-01,Feed the Hungry,V002,LinkedIn,3242,Completed,300000
2026-04-08,Feed the Hungry,V010,WhatsApp,3228,Failed,300000
2026-01-03,Women Empowerment,V008,LinkedIn,2784,Pending,400000
2026-04-22,Women Empowerment,V002,WhatsApp,2262,Failed,400000
2025-12-25,Project Education,V005,Instagram,2402,Completed,500000
2026-03-20,Project Education,V007,Instagram,3618,Pending,500000
2025-12-22,Women Empowerment,V008,Cold Call,1705,Completed,400000
2026-03-11,Feed the Hungry,V001,WhatsApp,1629,Pending,300000
2025-12-22,Winter Clothes Drive,V006,Instagram,2253,Completed,200000
2026-03-15,Women Empowerment,V001,LinkedIn,1440,Completed,400000
2026-01-18,Project Education,V002,WhatsApp,1792,Pending,500000
2026-04-03,Feed the Hungry,V001,WhatsApp,1975,Completed,300000
2026-02-19,Women Empowerment,V005,LinkedIn,669,Completed,400000
2026-05-30,Women Empowerment,V010,Instagram,1324,Completed,400000
2026-01-15,Feed the Hungry,V009,LinkedIn,1006,Failed,300000
2026-03-14,Women Empowerment,V006,LinkedIn,1989,Failed,400000
2026-05-24,Feed the Hungry,V001,WhatsApp,4003,Completed,300000
2025-12-29,Winter Clothes Drive,V001,WhatsApp,2431,Pending,200000
2026-06-05,Feed the Hungry,V002,WhatsApp,1018,Completed,300000
2026-06-12,Feed the Hungry,V009,Cold Call,1366,Completed,300000
2026-05-25,Feed the Hungry,V003,WhatsApp,1093,Completed,300000
2026-05-06,Women Empowerment,V001,WhatsApp,331,Completed,400000
2026-04-13,Women Empowerment,V005,WhatsApp,2894,Completed,400000
2026-01-14,Feed the Hungry,V007,Instagram,1108,Completed,300000
2026-06-07,Women Empowerment,V006,Cold Call,4343,Completed,400000
2026-02-08,Project Education,V001,Instagram,2582,Pending,500000
2026-04-16,Project Education,V005,Instagram,3878,Pending,500000
2026-01-30,Women Empowerment,V005,LinkedIn,1058,Completed,400000
2026-06-09,Women Empowerment,V006,WhatsApp,1279,Completed,400000
2026-05-16,Feed the Hungry,V003,Cold Call,1085,Completed,300000
2026-01-30,Winter Clothes Drive,V005,Instagram,4635,Completed,200000
2026-03-24,Women Empowerment,V007,Instagram,325,Completed,400000
2026-04-22,Project Education,V005,Instagram,2790,Completed,500000
2025-12-30,Feed the Hungry,V005,Instagram,2339,Failed,300000
2026-03-21,Women Empowerment,V005,Instagram,1289,Pending,400000
2026-02-28,Project Education,V010,Cold Call,175,Pending,500000
2026-01-28,Project Education,V010,Cold Call,4115,Completed,500000
2026-05-19,Winter Clothes Drive,V003,Instagram,4362,Completed,200000
2026-04-04,Feed the Hungry,V001,Instagram,3918,Failed,300000
2026-02-26,Feed the Hungry,V005,WhatsApp,1258,Failed,300000
2026-01-19,Winter Clothes Drive,V009,Instagram,3299,Pending,200000
2026-01-17,Winter Clothes Drive,V001,WhatsApp,968,Completed,200000
2026-05-27,Feed the Hungry,V003,LinkedIn,3973,Completed,300000
2026-04-28,Feed the Hungry,V004,Cold Call,4453,Completed,300000
2026-02-18,Women Empowerment,V001,LinkedIn,2019,Completed,400000
2026-04-22,Women Empowerment,V001,LinkedIn,2843,Completed,400000
2026-03-01,Winter Clothes Drive,V008,WhatsApp,941,Completed,200000
2026-03-03,Women Empowerment,V002,WhatsApp,4520,Completed,400000
2026-05-27,Project Education,V008,Instagram,2083,Completed,500000
2026-06-05,Women Empowerment,V007,WhatsApp,1414,Pending,400000
2026-03-03,Women Empowerment,V010,WhatsApp,178,Completed,400000
2026-04-17,Project Education,V010,LinkedIn,1064,Completed,500000
2026-03-29,Winter Clothes Drive,V002,Instagram,1849,Completed,200000
2026-03-03,Project Education,V006,Instagram,4662,Pending,500000
2026-01-18,Women Empowerment,V006,WhatsApp,1568,Pending,400000
2026-03-13,Winter Clothes Drive,V003,LinkedIn,4231,Failed,200000
2026-04-06,Women Empowerment,V002,LinkedIn,1248,Pending,400000
2026-06-01,Project Education,V001,Instagram,3923,Completed,500000
2026-05-20,Project Education,V006,Instagram,2524,Completed,500000
2026-03-31,Women Empowerment,V005,WhatsApp,3535,Failed,400000
2025-12-30,Feed the Hungry,V009,LinkedIn,4099,Completed,300000
2026-06-09,Feed the Hungry,V001,LinkedIn,3769,Completed,300000
2026-03-11,Project Education,V007,Instagram,352,Completed,500000
2026-03-10,Project Education,V005,LinkedIn,4002,Pending,500000
2026-04-19,Feed the Hungry,V005,LinkedIn,4733,Completed,300000
2026-02-17,Feed the Hungry,V002,LinkedIn,1036,Completed,300000
2026-06-04,Women Empowerment,V003,LinkedIn,1913,Failed,400000
2026-04-29,Women Empowerment,V007,Instagram,4490,Failed,400000
2026-03-26,Feed the Hungry,V006,LinkedIn,4959,Failed,300000
2026-01-28,Women Empowerment,V002,Instagram,3122,Pending,400000
2026-03-01,Women Empowerment,V006,Instagram,3174,Completed,400000
2026-01-30,Winter Clothes Drive,V002,LinkedIn,1377,Completed,200000
2026-05-09,Women Empowerment,V002,LinkedIn,2458,Completed,400000
2026-05-12,Project Education,V002,Instagram,3723,Pending,500000
2026-04-16,Women Empowerment,V003,LinkedIn,3341,Failed,400000
2026-03-04,Women Empowerment,V002,LinkedIn,4083,Failed,400000
2026-01-15,Feed the Hungry,V004,Cold Call,753,Completed,300000
2026-01-31,Project Education,V009,WhatsApp,624,Completed,500000
2026-05-11,Women Empowerment,V006,WhatsApp,3282,Failed,400000
